,model_name,epochs,learning_rate,optimizer,activation,batch_size,callbacks,regularization,initializer,dropout,batch_normalization,mean_accuracy,mean_recall,mean_precision,training_time
0,ir_121-1-1,1,0.001,Adam 0.9 0.999,relu,32,reducelr 10 0.1 - early_stop 40,No,No,0.2,No,3.1376265775427745,9.464109956045402,6.796113267806344,8
1,ir_12-1-1-1,20,0.001,Adam 0.9 0.999,relu,32,reducelr 10 0.1 - early_stop 40,No,No,0.2,No,12.656881918468873,15.34471447498338,13.966807966414663,1197
2,ir_256_128_64_32-2-1-1,20,0.001,Adam 0.9 0.999,relu,32,reducelr 10 0.1 - early_stop 40,No,No,No,No,33.546623122638465,16.755259095979522,6.275466487564471,1206
3,ir_256_128_64_32-2-1-1,20,0.1,Adam 0.9 0.999,relu,32,reducelr 10 0.1 - early_stop 40,No,No,No,No,0.2278466591983595,8.333333333333332,0.0189872215998632,1286
4,ir_12-1-2-1,50,0.001,Adam 0.9 0.999,relu,32,reducelr 3 0.1 - early_stop 5,No,No,0.2,No,1.959481269105892,13.445010137418487,11.74888574651884,724
5,ir_256_128_64_32-2-1-1,50,0.01,Adam 0.9 0.999,relu,64,reducelr 10 0.1 - early_stop 10,No,No,0.2,No,0.2278466591983595,8.333333333333332,0.0189872215998632,1358
6,ir_512_128_32-3-1-1,50,0.01,Adam 0.9 0.999,relu,64,reducelr 10 0.1 - early_stop 10,No,No,0.2,No,0.8088556401541762,8.333333333333332,0.0674046366795146,3209
7,ir_64_32-4-1-1,50,0.01,Adam 0.9 0.999,relu,64,reducelr 10 0.1 - early_stop 10,No,No,0.2,No,0.8088556401541762,8.333333333333332,0.0674046366795146,2171
8,ir_64_32-4-2-1,50,0.1,Adam 0.9 0.999,relu,64,reducelr 10 0.1 - early_stop 10,No,No,0.2,No,0.8088556401541762,8.333333333333332,0.0674046366795146,2742
9,ir_64_32-4-3-1,50,0.1,Adam 0.9 0.999,relu,64,reducelr 10 0.1 - early_stop 20,No,No,0.2,Yes,36.08711337270017,25.88063145224096,20.463209452432928,9634
10,ir_64_32-4-4-1,50,0.1,Adam 0.9 0.999,relu,64,reducelr 5 0.1 - early_stop 20,No,HeUniform,0.2,Yes,41.99403801241765,28.9311943658539,18.82821657028635,9670
